quantity, reference, part number, manufacturer, description

1, MCP73831, MCP73831T-2ACI/OT, MICROCHIP, IC CONTROLLR LI-ION 4.2V SOT23-5
1, MIC5219, MIC5219-3.3YM5 TR, MICREL, IC REG LDO 3.3V 0.5A SOT23-5 
1, ATMEGA32U4, ATMEGA32U4-MUR, ATMEL, IC MCU 8BIT 32KB FLASH 44QFN 
1, USB_MICRO_B, 10118193-0001LF, FCI, CONN USB MICRO B RECPT SMT R/A 
1, 8MHZ_RES, CSTCE8M00G55-R0, MURATA, CER RESONATOR 8.00MHZ SMD
3, LED_SMD_RED, LH R974-LP-1, OSRAM, LED CHIPLED 645NM RED DIFF 0805 
1, B340A, B340A-E3/61T, VISHAY, DIODE SCHOTTKY 40V 3A DO214AC
1, JST_HEADER, S2B-PH-SM4-TB(LF)(SN), JST, CONN HEADER PH SIDE 2POS 2MM SMD
3, C_4_7UF, GRM21BR61E475KA12L, MURATA, CAP CER 4.7UF 25V 10% X5R 0805
1, C_1UF, GRM216R61E105KA12D, MURATA, CAP CER 1UF 25V 10% X5R 0805 
3, C_0_47UF, GRM21BR71E104KA01L, MURATA, CAP CER 0.1UF 25V 10% X7R 0805 
1, C_470PF, GRM2165C1H471JA01D, MURATA, CAP CER 470PF 50V 5% NP0 0805
